Cost Rank,Product Name,Product Life Cycle,Your Forecast FY25 Q2,Fiscal_Quarter,Actual_Units,Quarter_Order
1,SWITCH Enterprise High-1 ,Sustaining,,FY22 Q2,57147.0,1
2,SWITCH Enterprise Ultra High-1 ,Sustaining,,FY22 Q2,222.0,1
3,SWITCH Enterprise Ultra High-2,Sustaining,,FY22 Q2,24362.0,1
4,SWITCH Enterprise Low,Sustaining,,FY22 Q2,,1
5,TRANSCEIVER MODULE Mid-1,Sustaining,,FY22 Q2,208760.0,1
6,POWER SUPPLY High,Sustaining,,FY22 Q2,204604.0,1
7,TRANSCEIVER MODULE High,Sustaining,,FY22 Q2,19790.0,1
8,ACCESS POINT Mid,Sustaining,,FY22 Q2,,1
9,POWER SUPPLY Mid,Sustaining,,FY22 Q2,191286.0,1
10,SERVER ,Sustaining,,FY22 Q2,,1
11,PROCESSOR ,Sustaining,,FY22 Q2,,1
12,SWITCH Data Center High,Sustaining,,FY22 Q2,1263.0,1
13,TRANSCEIVER MODULE Mid-2,Sustaining,,FY22 Q2,,1
14,ROUTER Enterprise Mid-1 ,Sustaining,,FY22 Q2,2057.0,1
15,MEMORY ,Decline,,FY22 Q2,58911.0,1
16,ROUTER Enterprise Mid-2,Sustaining,,FY22 Q2,2349.0,1
17,SWITCH Data Center Mid-1,Sustaining,,FY22 Q2,4593.0,1
18,ROUTER Enterprise Low ,Decline,,FY22 Q2,13153.0,1
19,SWITCH Data Center Mid-2,Sustaining,,FY22 Q2,6629.0,1
20,SWITCH Enterprise High-2 ,NPI,,FY22 Q2,,1
1,SWITCH Enterprise High-1 ,Sustaining,,FY22 Q3,52873.0,2
2,SWITCH Enterprise Ultra High-1 ,Sustaining,,FY22 Q3,1549.0,2
3,SWITCH Enterprise Ultra High-2,Sustaining,,FY22 Q3,21308.0,2
4,SWITCH Enterprise Low,Sustaining,,FY22 Q3,,2
5,TRANSCEIVER MODULE Mid-1,Sustaining,,FY22 Q3,116126.0,2
6,POWER SUPPLY High,Sustaining,,FY22 Q3,194538.0,2
7,TRANSCEIVER MODULE High,Sustaining,,FY22 Q3,2476.0,2
8,ACCESS POINT Mid,Sustaining,,FY22 Q3,,2
9,POWER SUPPLY Mid,Sustaining,,FY22 Q3,228892.0,2
10,SERVER ,Sustaining,,FY22 Q3,,2
11,PROCESSOR ,Sustaining,,FY22 Q3,,2
12,SWITCH Data Center High,Sustaining,,FY22 Q3,1314.0,2
13,TRANSCEIVER MODULE Mid-2,Sustaining,,FY22 Q3,,2
14,ROUTER Enterprise Mid-1 ,Sustaining,,FY22 Q3,4266.0,2
15,MEMORY ,Decline,,FY22 Q3,69308.0,2
16,ROUTER Enterprise Mid-2,Sustaining,,FY22 Q3,2359.0,2
17,SWITCH Data Center Mid-1,Sustaining,,FY22 Q3,6513.0,2
18,ROUTER Enterprise Low ,Decline,,FY22 Q3,15149.0,2
19,SWITCH Data Center Mid-2,Sustaining,,FY22 Q3,4275.0,2
20,SWITCH Enterprise High-2 ,NPI,,FY22 Q3,,2
1,SWITCH Enterprise High-1 ,Sustaining,,FY22 Q4,52870.0,3
2,SWITCH Enterprise Ultra High-1 ,Sustaining,,FY22 Q4,4619.0,3
3,SWITCH Enterprise Ultra High-2,Sustaining,,FY22 Q4,19067.0,3
4,SWITCH Enterprise Low,Sustaining,,FY22 Q4,1227.0,3
5,TRANSCEIVER MODULE Mid-1,Sustaining,,FY22 Q4,150803.0,3
6,POWER SUPPLY High,Sustaining,,FY22 Q4,185160.0,3
7,TRANSCEIVER MODULE High,Sustaining,,FY22 Q4,3149.0,3
8,ACCESS POINT Mid,Sustaining,,FY22 Q4,13260.0,3
9,POWER SUPPLY Mid,Sustaining,,FY22 Q4,197489.0,3
10,SERVER ,Sustaining,,FY22 Q4,,3
11,PROCESSOR ,Sustaining,,FY22 Q4,,3
12,SWITCH Data Center High,Sustaining,,FY22 Q4,843.0,3
13,TRANSCEIVER MODULE Mid-2,Sustaining,,FY22 Q4,1688.0,3
14,ROUTER Enterprise Mid-1 ,Sustaining,,FY22 Q4,11650.0,3
15,MEMORY ,Decline,,FY22 Q4,107690.0,3
16,ROUTER Enterprise Mid-2,Sustaining,,FY22 Q4,2861.0,3
17,SWITCH Data Center Mid-1,Sustaining,,FY22 Q4,3093.0,3
18,ROUTER Enterprise Low ,Decline,,FY22 Q4,17700.0,3
19,SWITCH Data Center Mid-2,Sustaining,,FY22 Q4,2981.0,3
20,SWITCH Enterprise High-2 ,NPI,,FY22 Q4,,3
1,SWITCH Enterprise High-1 ,Sustaining,,FY23 Q1,38833.0,4
2,SWITCH Enterprise Ultra High-1 ,Sustaining,,FY23 Q1,4764.0,4
3,SWITCH Enterprise Ultra High-2,Sustaining,,FY23 Q1,14551.0,4
4,SWITCH Enterprise Low,Sustaining,,FY23 Q1,24186.0,4
5,TRANSCEIVER MODULE Mid-1,Sustaining,,FY23 Q1,82163.0,4
6,POWER SUPPLY High,Sustaining,,FY23 Q1,147284.0,4
7,TRANSCEIVER MODULE High,Sustaining,,FY23 Q1,6367.0,4
8,ACCESS POINT Mid,Sustaining,,FY23 Q1,21667.0,4
9,POWER SUPPLY Mid,Sustaining,,FY23 Q1,138040.0,4
10,SERVER ,Sustaining,,FY23 Q1,,4
11,PROCESSOR ,Sustaining,,FY23 Q1,,4
12,SWITCH Data Center High,Sustaining,,FY23 Q1,974.0,4
13,TRANSCEIVER MODULE Mid-2,Sustaining,,FY23 Q1,531.0,4
14,ROUTER Enterprise Mid-1 ,Sustaining,,FY23 Q1,7218.0,4
15,MEMORY ,Decline,,FY23 Q1,70616.0,4
16,ROUTER Enterprise Mid-2,Sustaining,,FY23 Q1,2655.0,4
17,SWITCH Data Center Mid-1,Sustaining,,FY23 Q1,2531.0,4
18,ROUTER Enterprise Low ,Decline,,FY23 Q1,10373.0,4
19,SWITCH Data Center Mid-2,Sustaining,,FY23 Q1,2956.0,4
20,SWITCH Enterprise High-2 ,NPI,,FY23 Q1,,4
1,SWITCH Enterprise High-1 ,Sustaining,,FY23 Q2,27114.0,5
2,SWITCH Enterprise Ultra High-1 ,Sustaining,,FY23 Q2,5015.0,5
3,SWITCH Enterprise Ultra High-2,Sustaining,,FY23 Q2,13271.0,5
4,SWITCH Enterprise Low,Sustaining,,FY23 Q2,7680.0,5
5,TRANSCEIVER MODULE Mid-1,Sustaining,,FY23 Q2,82408.0,5
6,POWER SUPPLY High,Sustaining,,FY23 Q2,136997.0,5
7,TRANSCEIVER MODULE High,Sustaining,,FY23 Q2,2287.0,5
8,ACCESS POINT Mid,Sustaining,,FY23 Q2,30498.0,5
9,POWER SUPPLY Mid,Sustaining,,FY23 Q2,116870.0,5
10,SERVER ,Sustaining,,FY23 Q2,,5
11,PROCESSOR ,Sustaining,,FY23 Q2,,5
12,SWITCH Data Center High,Sustaining,,FY23 Q2,753.0,5
13,TRANSCEIVER MODULE Mid-2,Sustaining,,FY23 Q2,6487.0,5
14,ROUTER Enterprise Mid-1 ,Sustaining,,FY23 Q2,6969.0,5
15,MEMORY ,Decline,,FY23 Q2,68431.0,5
16,ROUTER Enterprise Mid-2,Sustaining,,FY23 Q2,3497.0,5
17,SWITCH Data Center Mid-1,Sustaining,,FY23 Q2,2182.0,5
18,ROUTER Enterprise Low ,Decline,,FY23 Q2,15770.0,5
19,SWITCH Data Center Mid-2,Sustaining,,FY23 Q2,1987.0,5
20,SWITCH Enterprise High-2 ,NPI,,FY23 Q2,6.0,5
1,SWITCH Enterprise High-1 ,Sustaining,,FY23 Q3,21823.0,6
2,SWITCH Enterprise Ultra High-1 ,Sustaining,,FY23 Q3,6656.0,6
3,SWITCH Enterprise Ultra High-2,Sustaining,,FY23 Q3,10165.0,6
4,SWITCH Enterprise Low,Sustaining,,FY23 Q3,16772.0,6
5,TRANSCEIVER MODULE Mid-1,Sustaining,,FY23 Q3,67132.0,6
6,POWER SUPPLY High,Sustaining,,FY23 Q3,100623.0,6
7,TRANSCEIVER MODULE High,Sustaining,,FY23 Q3,11281.0,6
8,ACCESS POINT Mid,Sustaining,,FY23 Q3,40505.0,6
9,POWER SUPPLY Mid,Sustaining,,FY23 Q3,96797.0,6
10,SERVER ,Sustaining,,FY23 Q3,677.0,6
11,PROCESSOR ,Sustaining,,FY23 Q3,648.0,6
12,SWITCH Data Center High,Sustaining,,FY23 Q3,693.0,6
13,TRANSCEIVER MODULE Mid-2,Sustaining,,FY23 Q3,5456.0,6
14,ROUTER Enterprise Mid-1 ,Sustaining,,FY23 Q3,8713.0,6
15,MEMORY ,Decline,,FY23 Q3,69252.0,6
16,ROUTER Enterprise Mid-2,Sustaining,,FY23 Q3,2837.0,6
17,SWITCH Data Center Mid-1,Sustaining,,FY23 Q3,2192.0,6
18,ROUTER Enterprise Low ,Decline,,FY23 Q3,1199.0,6
19,SWITCH Data Center Mid-2,Sustaining,,FY23 Q3,1709.0,6
20,SWITCH Enterprise High-2 ,NPI,,FY23 Q3,26.0,6
1,SWITCH Enterprise High-1 ,Sustaining,,FY23 Q4,31813.0,7
2,SWITCH Enterprise Ultra High-1 ,Sustaining,,FY23 Q4,9605.0,7
3,SWITCH Enterprise Ultra High-2,Sustaining,,FY23 Q4,10477.0,7
4,SWITCH Enterprise Low,Sustaining,,FY23 Q4,17554.0,7
5,TRANSCEIVER MODULE Mid-1,Sustaining,,FY23 Q4,87498.0,7
6,POWER SUPPLY High,Sustaining,,FY23 Q4,128229.0,7
7,TRANSCEIVER MODULE High,Sustaining,,FY23 Q4,5212.0,7
8,ACCESS POINT Mid,Sustaining,,FY23 Q4,61214.0,7
9,POWER SUPPLY Mid,Sustaining,,FY23 Q4,117644.0,7
10,SERVER ,Sustaining,,FY23 Q4,6834.0,7
11,PROCESSOR ,Sustaining,,FY23 Q4,2415.0,7
12,SWITCH Data Center High,Sustaining,,FY23 Q4,911.0,7
13,TRANSCEIVER MODULE Mid-2,Sustaining,,FY23 Q4,10031.0,7
14,ROUTER Enterprise Mid-1 ,Sustaining,,FY23 Q4,10622.0,7
15,MEMORY ,Decline,,FY23 Q4,84833.0,7
16,ROUTER Enterprise Mid-2,Sustaining,,FY23 Q4,4237.0,7
17,SWITCH Data Center Mid-1,Sustaining,,FY23 Q4,2586.0,7
18,ROUTER Enterprise Low ,Decline,,FY23 Q4,3395.0,7
19,SWITCH Data Center Mid-2,Sustaining,,FY23 Q4,2326.0,7
20,SWITCH Enterprise High-2 ,NPI,,FY23 Q4,111.0,7
1,SWITCH Enterprise High-1 ,Sustaining,,FY24 Q1,27302.0,8
2,SWITCH Enterprise Ultra High-1 ,Sustaining,,FY24 Q1,5956.0,8
3,SWITCH Enterprise Ultra High-2,Sustaining,,FY24 Q1,7295.0,8
4,SWITCH Enterprise Low,Sustaining,,FY24 Q1,16095.0,8
5,TRANSCEIVER MODULE Mid-1,Sustaining,,FY24 Q1,69599.0,8
6,POWER SUPPLY High,Sustaining,,FY24 Q1,100456.0,8
7,TRANSCEIVER MODULE High,Sustaining,,FY24 Q1,5408.0,8
8,ACCESS POINT Mid,Sustaining,,FY24 Q1,41932.0,8
9,POWER SUPPLY Mid,Sustaining,,FY24 Q1,116489.0,8
10,SERVER ,Sustaining,,FY24 Q1,4355.0,8
11,PROCESSOR ,Sustaining,,FY24 Q1,1331.0,8
12,SWITCH Data Center High,Sustaining,,FY24 Q1,917.0,8
13,TRANSCEIVER MODULE Mid-2,Sustaining,,FY24 Q1,10803.0,8
14,ROUTER Enterprise Mid-1 ,Sustaining,,FY24 Q1,11449.0,8
15,MEMORY ,Decline,,FY24 Q1,69172.0,8
16,ROUTER Enterprise Mid-2,Sustaining,,FY24 Q1,3817.0,8
17,SWITCH Data Center Mid-1,Sustaining,,FY24 Q1,1918.0,8
18,ROUTER Enterprise Low ,Decline,,FY24 Q1,5576.0,8
19,SWITCH Data Center Mid-2,Sustaining,,FY24 Q1,2280.0,8
20,SWITCH Enterprise High-2 ,NPI,,FY24 Q1,97.0,8
1,SWITCH Enterprise High-1 ,Sustaining,,FY24 Q2,22084.0,9
2,SWITCH Enterprise Ultra High-1 ,Sustaining,,FY24 Q2,8450.0,9
3,SWITCH Enterprise Ultra High-2,Sustaining,,FY24 Q2,8084.0,9
4,SWITCH Enterprise Low,Sustaining,,FY24 Q2,26125.0,9
5,TRANSCEIVER MODULE Mid-1,Sustaining,,FY24 Q2,78130.0,9
6,POWER SUPPLY High,Sustaining,,FY24 Q2,93373.0,9
7,TRANSCEIVER MODULE High,Sustaining,,FY24 Q2,11956.0,9
8,ACCESS POINT Mid,Sustaining,,FY24 Q2,59424.0,9
9,POWER SUPPLY Mid,Sustaining,,FY24 Q2,96255.0,9
10,SERVER ,Sustaining,,FY24 Q2,5400.0,9
11,PROCESSOR ,Sustaining,,FY24 Q2,1828.0,9
12,SWITCH Data Center High,Sustaining,,FY24 Q2,1944.0,9
13,TRANSCEIVER MODULE Mid-2,Sustaining,,FY24 Q2,15667.0,9
14,ROUTER Enterprise Mid-1 ,Sustaining,,FY24 Q2,10366.0,9
15,MEMORY ,Decline,,FY24 Q2,58610.0,9
16,ROUTER Enterprise Mid-2,Sustaining,,FY24 Q2,3855.0,9
17,SWITCH Data Center Mid-1,Sustaining,,FY24 Q2,2340.0,9
18,ROUTER Enterprise Low ,Decline,,FY24 Q2,5272.0,9
19,SWITCH Data Center Mid-2,Sustaining,,FY24 Q2,2001.0,9
20,SWITCH Enterprise High-2 ,NPI,,FY24 Q2,158.0,9
1,SWITCH Enterprise High-1 ,Sustaining,,FY24 Q3,21830.0,10
2,SWITCH Enterprise Ultra High-1 ,Sustaining,,FY24 Q3,8584.0,10
3,SWITCH Enterprise Ultra High-2,Sustaining,,FY24 Q3,9249.0,10
4,SWITCH Enterprise Low,Sustaining,,FY24 Q3,24337.0,10
5,TRANSCEIVER MODULE Mid-1,Sustaining,,FY24 Q3,76840.0,10
6,POWER SUPPLY High,Sustaining,,FY24 Q3,115327.0,10
7,TRANSCEIVER MODULE High,Sustaining,,FY24 Q3,16406.0,10
8,ACCESS POINT Mid,Sustaining,,FY24 Q3,60073.0,10
9,POWER SUPPLY Mid,Sustaining,,FY24 Q3,97046.0,10
10,SERVER ,Sustaining,,FY24 Q3,4422.0,10
11,PROCESSOR ,Sustaining,,FY24 Q3,1346.0,10
12,SWITCH Data Center High,Sustaining,,FY24 Q3,1267.0,10
13,TRANSCEIVER MODULE Mid-2,Sustaining,,FY24 Q3,37379.0,10
14,ROUTER Enterprise Mid-1 ,Sustaining,,FY24 Q3,13540.0,10
15,MEMORY ,Decline,,FY24 Q3,51083.0,10
16,ROUTER Enterprise Mid-2,Sustaining,,FY24 Q3,5784.0,10
17,SWITCH Data Center Mid-1,Sustaining,,FY24 Q3,1979.0,10
18,ROUTER Enterprise Low ,Decline,,FY24 Q3,6085.0,10
19,SWITCH Data Center Mid-2,Sustaining,,FY24 Q3,3152.0,10
20,SWITCH Enterprise High-2 ,NPI,,FY24 Q3,138.0,10
1,SWITCH Enterprise High-1 ,Sustaining,,FY24 Q4,29404.0,11
2,SWITCH Enterprise Ultra High-1 ,Sustaining,,FY24 Q4,12552.0,11
3,SWITCH Enterprise Ultra High-2,Sustaining,,FY24 Q4,10742.0,11
4,SWITCH Enterprise Low,Sustaining,,FY24 Q4,21988.0,11
5,TRANSCEIVER MODULE Mid-1,Sustaining,,FY24 Q4,85421.0,11
6,POWER SUPPLY High,Sustaining,,FY24 Q4,145690.0,11
7,TRANSCEIVER MODULE High,Sustaining,,FY24 Q4,6735.0,11
8,ACCESS POINT Mid,Sustaining,,FY24 Q4,66952.0,11
9,POWER SUPPLY Mid,Sustaining,,FY24 Q4,127181.0,11
10,SERVER ,Sustaining,,FY24 Q4,6635.0,11
11,PROCESSOR ,Sustaining,,FY24 Q4,1175.0,11
12,SWITCH Data Center High,Sustaining,,FY24 Q4,1757.0,11
13,TRANSCEIVER MODULE Mid-2,Sustaining,,FY24 Q4,34423.0,11
14,ROUTER Enterprise Mid-1 ,Sustaining,,FY24 Q4,16468.0,11
15,MEMORY ,Decline,,FY24 Q4,22115.0,11
16,ROUTER Enterprise Mid-2,Sustaining,,FY24 Q4,7840.0,11
17,SWITCH Data Center Mid-1,Sustaining,,FY24 Q4,1712.0,11
18,ROUTER Enterprise Low ,Decline,,FY24 Q4,6761.0,11
19,SWITCH Data Center Mid-2,Sustaining,,FY24 Q4,3208.0,11
20,SWITCH Enterprise High-2 ,NPI,,FY24 Q4,192.0,11
1,SWITCH Enterprise High-1 ,Sustaining,,FY25 Q1,24518.0,12
2,SWITCH Enterprise Ultra High-1 ,Sustaining,,FY25 Q1,9665.0,12
3,SWITCH Enterprise Ultra High-2,Sustaining,,FY25 Q1,9189.0,12
4,SWITCH Enterprise Low,Sustaining,,FY25 Q1,32768.0,12
5,TRANSCEIVER MODULE Mid-1,Sustaining,,FY25 Q1,54494.0,12
6,POWER SUPPLY High,Sustaining,,FY25 Q1,120699.0,12
7,TRANSCEIVER MODULE High,Sustaining,,FY25 Q1,29889.0,12
8,ACCESS POINT Mid,Sustaining,,FY25 Q1,57131.0,12
9,POWER SUPPLY Mid,Sustaining,,FY25 Q1,109609.0,12
10,SERVER ,Sustaining,,FY25 Q1,4970.0,12
11,PROCESSOR ,Sustaining,,FY25 Q1,1376.0,12
12,SWITCH Data Center High,Sustaining,,FY25 Q1,1472.0,12
13,TRANSCEIVER MODULE Mid-2,Sustaining,,FY25 Q1,36285.0,12
14,ROUTER Enterprise Mid-1 ,Sustaining,,FY25 Q1,13724.0,12
15,MEMORY ,Decline,,FY25 Q1,19674.0,12
16,ROUTER Enterprise Mid-2,Sustaining,,FY25 Q1,5309.0,12
17,SWITCH Data Center Mid-1,Sustaining,,FY25 Q1,1675.0,12
18,ROUTER Enterprise Low ,Decline,,FY25 Q1,16697.0,12
19,SWITCH Data Center Mid-2,Sustaining,,FY25 Q1,2374.0,12
20,SWITCH Enterprise High-2 ,NPI,,FY25 Q1,149.0,12
