Cost Rank,Product Name,Product Life Cycle,Your Forecast FY25 Q2,Fiscal_Quarter,Actual_Units,Quarter_Order,Lag_1,MA_3
1,SWITCH Enterprise High-1 ,Sustaining,,FY22 Q2,57147.0,1,,57147.0
2,SWITCH Enterprise Ultra High-1 ,Sustaining,,FY22 Q2,222.0,1,,222.0
3,SWITCH Enterprise Ultra High-2,Sustaining,,FY22 Q2,24362.0,1,,24362.0
4,SWITCH Enterprise Low,Sustaining,,FY22 Q2,,1,,
5,TRANSCEIVER MODULE Mid-1,Sustaining,,FY22 Q2,208760.0,1,,208760.0
6,POWER SUPPLY High,Sustaining,,FY22 Q2,204604.0,1,,204604.0
7,TRANSCEIVER MODULE High,Sustaining,,FY22 Q2,19790.0,1,,19790.0
8,ACCESS POINT Mid,Sustaining,,FY22 Q2,,1,,
9,POWER SUPPLY Mid,Sustaining,,FY22 Q2,191286.0,1,,191286.0
10,SERVER ,Sustaining,,FY22 Q2,,1,,
11,PROCESSOR ,Sustaining,,FY22 Q2,,1,,
12,SWITCH Data Center High,Sustaining,,FY22 Q2,1263.0,1,,1263.0
13,TRANSCEIVER MODULE Mid-2,Sustaining,,FY22 Q2,,1,,
14,ROUTER Enterprise Mid-1 ,Sustaining,,FY22 Q2,2057.0,1,,2057.0
15,MEMORY ,Decline,,FY22 Q2,58911.0,1,,58911.0
16,ROUTER Enterprise Mid-2,Sustaining,,FY22 Q2,2349.0,1,,2349.0
17,SWITCH Data Center Mid-1,Sustaining,,FY22 Q2,4593.0,1,,4593.0
18,ROUTER Enterprise Low ,Decline,,FY22 Q2,13153.0,1,,13153.0
19,SWITCH Data Center Mid-2,Sustaining,,FY22 Q2,6629.0,1,,6629.0
20,SWITCH Enterprise High-2 ,NPI,,FY22 Q2,,1,,
1,SWITCH Enterprise High-1 ,Sustaining,,FY22 Q3,52873.0,2,57147.0,55010.0
2,SWITCH Enterprise Ultra High-1 ,Sustaining,,FY22 Q3,1549.0,2,222.0,885.5
3,SWITCH Enterprise Ultra High-2,Sustaining,,FY22 Q3,21308.0,2,24362.0,22835.0
4,SWITCH Enterprise Low,Sustaining,,FY22 Q3,,2,,
5,TRANSCEIVER MODULE Mid-1,Sustaining,,FY22 Q3,116126.0,2,208760.0,162443.0
6,POWER SUPPLY High,Sustaining,,FY22 Q3,194538.0,2,204604.0,199571.0
7,TRANSCEIVER MODULE High,Sustaining,,FY22 Q3,2476.0,2,19790.0,11133.0
8,ACCESS POINT Mid,Sustaining,,FY22 Q3,,2,,
9,POWER SUPPLY Mid,Sustaining,,FY22 Q3,228892.0,2,191286.0,210089.0
10,SERVER ,Sustaining,,FY22 Q3,,2,,
11,PROCESSOR ,Sustaining,,FY22 Q3,,2,,
12,SWITCH Data Center High,Sustaining,,FY22 Q3,1314.0,2,1263.0,1288.5
13,TRANSCEIVER MODULE Mid-2,Sustaining,,FY22 Q3,,2,,
14,ROUTER Enterprise Mid-1 ,Sustaining,,FY22 Q3,4266.0,2,2057.0,3161.5
15,MEMORY ,Decline,,FY22 Q3,69308.0,2,58911.0,64109.5
16,ROUTER Enterprise Mid-2,Sustaining,,FY22 Q3,2359.0,2,2349.0,2354.0
17,SWITCH Data Center Mid-1,Sustaining,,FY22 Q3,6513.0,2,4593.0,5553.0
18,ROUTER Enterprise Low ,Decline,,FY22 Q3,15149.0,2,13153.0,14151.0
19,SWITCH Data Center Mid-2,Sustaining,,FY22 Q3,4275.0,2,6629.0,5452.0
20,SWITCH Enterprise High-2 ,NPI,,FY22 Q3,,2,,
1,SWITCH Enterprise High-1 ,Sustaining,,FY22 Q4,52870.0,3,52873.0,54296.666666666664
2,SWITCH Enterprise Ultra High-1 ,Sustaining,,FY22 Q4,4619.0,3,1549.0,2130.0
3,SWITCH Enterprise Ultra High-2,Sustaining,,FY22 Q4,19067.0,3,21308.0,21579.0
4,SWITCH Enterprise Low,Sustaining,,FY22 Q4,1227.0,3,,1227.0
5,TRANSCEIVER MODULE Mid-1,Sustaining,,FY22 Q4,150803.0,3,116126.0,158563.0
6,POWER SUPPLY High,Sustaining,,FY22 Q4,185160.0,3,194538.0,194767.33333333334
7,TRANSCEIVER MODULE High,Sustaining,,FY22 Q4,3149.0,3,2476.0,8471.666666666666
8,ACCESS POINT Mid,Sustaining,,FY22 Q4,13260.0,3,,13260.0
9,POWER SUPPLY Mid,Sustaining,,FY22 Q4,197489.0,3,228892.0,205889.0
10,SERVER ,Sustaining,,FY22 Q4,,3,,
11,PROCESSOR ,Sustaining,,FY22 Q4,,3,,
12,SWITCH Data Center High,Sustaining,,FY22 Q4,843.0,3,1314.0,1140.0
13,TRANSCEIVER MODULE Mid-2,Sustaining,,FY22 Q4,1688.0,3,,1688.0
14,ROUTER Enterprise Mid-1 ,Sustaining,,FY22 Q4,11650.0,3,4266.0,5991.0
15,MEMORY ,Decline,,FY22 Q4,107690.0,3,69308.0,78636.33333333333
16,ROUTER Enterprise Mid-2,Sustaining,,FY22 Q4,2861.0,3,2359.0,2523.0
17,SWITCH Data Center Mid-1,Sustaining,,FY22 Q4,3093.0,3,6513.0,4733.0
18,ROUTER Enterprise Low ,Decline,,FY22 Q4,17700.0,3,15149.0,15334.0
19,SWITCH Data Center Mid-2,Sustaining,,FY22 Q4,2981.0,3,4275.0,4628.333333333333
20,SWITCH Enterprise High-2 ,NPI,,FY22 Q4,,3,,
1,SWITCH Enterprise High-1 ,Sustaining,,FY23 Q1,38833.0,4,52870.0,48192.0
2,SWITCH Enterprise Ultra High-1 ,Sustaining,,FY23 Q1,4764.0,4,4619.0,3644.0
3,SWITCH Enterprise Ultra High-2,Sustaining,,FY23 Q1,14551.0,4,19067.0,18308.666666666668
4,SWITCH Enterprise Low,Sustaining,,FY23 Q1,24186.0,4,1227.0,12706.5
5,TRANSCEIVER MODULE Mid-1,Sustaining,,FY23 Q1,82163.0,4,150803.0,116364.0
6,POWER SUPPLY High,Sustaining,,FY23 Q1,147284.0,4,185160.0,175660.66666666666
7,TRANSCEIVER MODULE High,Sustaining,,FY23 Q1,6367.0,4,3149.0,3997.3333333333335
8,ACCESS POINT Mid,Sustaining,,FY23 Q1,21667.0,4,13260.0,17463.5
9,POWER SUPPLY Mid,Sustaining,,FY23 Q1,138040.0,4,197489.0,188140.33333333334
10,SERVER ,Sustaining,,FY23 Q1,,4,,
11,PROCESSOR ,Sustaining,,FY23 Q1,,4,,
12,SWITCH Data Center High,Sustaining,,FY23 Q1,974.0,4,843.0,1043.6666666666667
13,TRANSCEIVER MODULE Mid-2,Sustaining,,FY23 Q1,531.0,4,1688.0,1109.5
14,ROUTER Enterprise Mid-1 ,Sustaining,,FY23 Q1,7218.0,4,11650.0,7711.333333333333
15,MEMORY ,Decline,,FY23 Q1,70616.0,4,107690.0,82538.0
16,ROUTER Enterprise Mid-2,Sustaining,,FY23 Q1,2655.0,4,2861.0,2625.0
17,SWITCH Data Center Mid-1,Sustaining,,FY23 Q1,2531.0,4,3093.0,4045.6666666666665
18,ROUTER Enterprise Low ,Decline,,FY23 Q1,10373.0,4,17700.0,14407.333333333334
19,SWITCH Data Center Mid-2,Sustaining,,FY23 Q1,2956.0,4,2981.0,3404.0
20,SWITCH Enterprise High-2 ,NPI,,FY23 Q1,,4,,
1,SWITCH Enterprise High-1 ,Sustaining,,FY23 Q2,27114.0,5,38833.0,39605.666666666664
2,SWITCH Enterprise Ultra High-1 ,Sustaining,,FY23 Q2,5015.0,5,4764.0,4799.333333333333
3,SWITCH Enterprise Ultra High-2,Sustaining,,FY23 Q2,13271.0,5,14551.0,15629.666666666666
4,SWITCH Enterprise Low,Sustaining,,FY23 Q2,7680.0,5,24186.0,11031.0
5,TRANSCEIVER MODULE Mid-1,Sustaining,,FY23 Q2,82408.0,5,82163.0,105124.66666666667
6,POWER SUPPLY High,Sustaining,,FY23 Q2,136997.0,5,147284.0,156480.33333333334
7,TRANSCEIVER MODULE High,Sustaining,,FY23 Q2,2287.0,5,6367.0,3934.3333333333335
8,ACCESS POINT Mid,Sustaining,,FY23 Q2,30498.0,5,21667.0,21808.333333333332
9,POWER SUPPLY Mid,Sustaining,,FY23 Q2,116870.0,5,138040.0,150799.66666666666
10,SERVER ,Sustaining,,FY23 Q2,,5,,
11,PROCESSOR ,Sustaining,,FY23 Q2,,5,,
12,SWITCH Data Center High,Sustaining,,FY23 Q2,753.0,5,974.0,856.6666666666666
13,TRANSCEIVER MODULE Mid-2,Sustaining,,FY23 Q2,6487.0,5,531.0,2902.0
14,ROUTER Enterprise Mid-1 ,Sustaining,,FY23 Q2,6969.0,5,7218.0,8612.333333333334
15,MEMORY ,Decline,,FY23 Q2,68431.0,5,70616.0,82245.66666666667
16,ROUTER Enterprise Mid-2,Sustaining,,FY23 Q2,3497.0,5,2655.0,3004.3333333333335
17,SWITCH Data Center Mid-1,Sustaining,,FY23 Q2,2182.0,5,2531.0,2602.0
18,ROUTER Enterprise Low ,Decline,,FY23 Q2,15770.0,5,10373.0,14614.333333333334
19,SWITCH Data Center Mid-2,Sustaining,,FY23 Q2,1987.0,5,2956.0,2641.3333333333335
20,SWITCH Enterprise High-2 ,NPI,,FY23 Q2,6.0,5,,6.0
1,SWITCH Enterprise High-1 ,Sustaining,,FY23 Q3,21823.0,6,27114.0,29256.666666666668
2,SWITCH Enterprise Ultra High-1 ,Sustaining,,FY23 Q3,6656.0,6,5015.0,5478.333333333333
3,SWITCH Enterprise Ultra High-2,Sustaining,,FY23 Q3,10165.0,6,13271.0,12662.333333333334
4,SWITCH Enterprise Low,Sustaining,,FY23 Q3,16772.0,6,7680.0,16212.666666666666
5,TRANSCEIVER MODULE Mid-1,Sustaining,,FY23 Q3,67132.0,6,82408.0,77234.33333333333
6,POWER SUPPLY High,Sustaining,,FY23 Q3,100623.0,6,136997.0,128301.33333333333
7,TRANSCEIVER MODULE High,Sustaining,,FY23 Q3,11281.0,6,2287.0,6645.0
8,ACCESS POINT Mid,Sustaining,,FY23 Q3,40505.0,6,30498.0,30890.0
9,POWER SUPPLY Mid,Sustaining,,FY23 Q3,96797.0,6,116870.0,117235.66666666667
10,SERVER ,Sustaining,,FY23 Q3,677.0,6,,677.0
11,PROCESSOR ,Sustaining,,FY23 Q3,648.0,6,,648.0
12,SWITCH Data Center High,Sustaining,,FY23 Q3,693.0,6,753.0,806.6666666666666
13,TRANSCEIVER MODULE Mid-2,Sustaining,,FY23 Q3,5456.0,6,6487.0,4158.0
14,ROUTER Enterprise Mid-1 ,Sustaining,,FY23 Q3,8713.0,6,6969.0,7633.333333333333
15,MEMORY ,Decline,,FY23 Q3,69252.0,6,68431.0,69433.0
16,ROUTER Enterprise Mid-2,Sustaining,,FY23 Q3,2837.0,6,3497.0,2996.3333333333335
17,SWITCH Data Center Mid-1,Sustaining,,FY23 Q3,2192.0,6,2182.0,2301.6666666666665
18,ROUTER Enterprise Low ,Decline,,FY23 Q3,1199.0,6,15770.0,9114.0
19,SWITCH Data Center Mid-2,Sustaining,,FY23 Q3,1709.0,6,1987.0,2217.3333333333335
20,SWITCH Enterprise High-2 ,NPI,,FY23 Q3,26.0,6,6.0,16.0
1,SWITCH Enterprise High-1 ,Sustaining,,FY23 Q4,31813.0,7,21823.0,26916.666666666668
2,SWITCH Enterprise Ultra High-1 ,Sustaining,,FY23 Q4,9605.0,7,6656.0,7092.0
3,SWITCH Enterprise Ultra High-2,Sustaining,,FY23 Q4,10477.0,7,10165.0,11304.333333333334
4,SWITCH Enterprise Low,Sustaining,,FY23 Q4,17554.0,7,16772.0,14002.0
5,TRANSCEIVER MODULE Mid-1,Sustaining,,FY23 Q4,87498.0,7,67132.0,79012.66666666667
6,POWER SUPPLY High,Sustaining,,FY23 Q4,128229.0,7,100623.0,121949.66666666667
7,TRANSCEIVER MODULE High,Sustaining,,FY23 Q4,5212.0,7,11281.0,6260.0
8,ACCESS POINT Mid,Sustaining,,FY23 Q4,61214.0,7,40505.0,44072.333333333336
9,POWER SUPPLY Mid,Sustaining,,FY23 Q4,117644.0,7,96797.0,110437.0
10,SERVER ,Sustaining,,FY23 Q4,6834.0,7,677.0,3755.5
11,PROCESSOR ,Sustaining,,FY23 Q4,2415.0,7,648.0,1531.5
12,SWITCH Data Center High,Sustaining,,FY23 Q4,911.0,7,693.0,785.6666666666666
13,TRANSCEIVER MODULE Mid-2,Sustaining,,FY23 Q4,10031.0,7,5456.0,7324.666666666667
14,ROUTER Enterprise Mid-1 ,Sustaining,,FY23 Q4,10622.0,7,8713.0,8768.0
15,MEMORY ,Decline,,FY23 Q4,84833.0,7,69252.0,74172.0
16,ROUTER Enterprise Mid-2,Sustaining,,FY23 Q4,4237.0,7,2837.0,3523.6666666666665
17,SWITCH Data Center Mid-1,Sustaining,,FY23 Q4,2586.0,7,2192.0,2320.0
18,ROUTER Enterprise Low ,Decline,,FY23 Q4,3395.0,7,1199.0,6788.0
19,SWITCH Data Center Mid-2,Sustaining,,FY23 Q4,2326.0,7,1709.0,2007.3333333333333
20,SWITCH Enterprise High-2 ,NPI,,FY23 Q4,111.0,7,26.0,47.666666666666664
1,SWITCH Enterprise High-1 ,Sustaining,,FY24 Q1,27302.0,8,31813.0,26979.333333333332
2,SWITCH Enterprise Ultra High-1 ,Sustaining,,FY24 Q1,5956.0,8,9605.0,7405.666666666667
3,SWITCH Enterprise Ultra High-2,Sustaining,,FY24 Q1,7295.0,8,10477.0,9312.333333333334
4,SWITCH Enterprise Low,Sustaining,,FY24 Q1,16095.0,8,17554.0,16807.0
5,TRANSCEIVER MODULE Mid-1,Sustaining,,FY24 Q1,69599.0,8,87498.0,74743.0
6,POWER SUPPLY High,Sustaining,,FY24 Q1,100456.0,8,128229.0,109769.33333333333
7,TRANSCEIVER MODULE High,Sustaining,,FY24 Q1,5408.0,8,5212.0,7300.333333333333
8,ACCESS POINT Mid,Sustaining,,FY24 Q1,41932.0,8,61214.0,47883.666666666664
9,POWER SUPPLY Mid,Sustaining,,FY24 Q1,116489.0,8,117644.0,110310.0
10,SERVER ,Sustaining,,FY24 Q1,4355.0,8,6834.0,3955.3333333333335
11,PROCESSOR ,Sustaining,,FY24 Q1,1331.0,8,2415.0,1464.6666666666667
12,SWITCH Data Center High,Sustaining,,FY24 Q1,917.0,8,911.0,840.3333333333334
13,TRANSCEIVER MODULE Mid-2,Sustaining,,FY24 Q1,10803.0,8,10031.0,8763.333333333334
14,ROUTER Enterprise Mid-1 ,Sustaining,,FY24 Q1,11449.0,8,10622.0,10261.333333333334
15,MEMORY ,Decline,,FY24 Q1,69172.0,8,84833.0,74419.0
16,ROUTER Enterprise Mid-2,Sustaining,,FY24 Q1,3817.0,8,4237.0,3630.3333333333335
17,SWITCH Data Center Mid-1,Sustaining,,FY24 Q1,1918.0,8,2586.0,2232.0
18,ROUTER Enterprise Low ,Decline,,FY24 Q1,5576.0,8,3395.0,3390.0
19,SWITCH Data Center Mid-2,Sustaining,,FY24 Q1,2280.0,8,2326.0,2105.0
20,SWITCH Enterprise High-2 ,NPI,,FY24 Q1,97.0,8,111.0,78.0
1,SWITCH Enterprise High-1 ,Sustaining,,FY24 Q2,22084.0,9,27302.0,27066.333333333332
2,SWITCH Enterprise Ultra High-1 ,Sustaining,,FY24 Q2,8450.0,9,5956.0,8003.666666666667
3,SWITCH Enterprise Ultra High-2,Sustaining,,FY24 Q2,8084.0,9,7295.0,8618.666666666666
4,SWITCH Enterprise Low,Sustaining,,FY24 Q2,26125.0,9,16095.0,19924.666666666668
5,TRANSCEIVER MODULE Mid-1,Sustaining,,FY24 Q2,78130.0,9,69599.0,78409.0
6,POWER SUPPLY High,Sustaining,,FY24 Q2,93373.0,9,100456.0,107352.66666666667
7,TRANSCEIVER MODULE High,Sustaining,,FY24 Q2,11956.0,9,5408.0,7525.333333333333
8,ACCESS POINT Mid,Sustaining,,FY24 Q2,59424.0,9,41932.0,54190.0
9,POWER SUPPLY Mid,Sustaining,,FY24 Q2,96255.0,9,116489.0,110129.33333333333
10,SERVER ,Sustaining,,FY24 Q2,5400.0,9,4355.0,5529.666666666667
11,PROCESSOR ,Sustaining,,FY24 Q2,1828.0,9,1331.0,1858.0
12,SWITCH Data Center High,Sustaining,,FY24 Q2,1944.0,9,917.0,1257.3333333333333
13,TRANSCEIVER MODULE Mid-2,Sustaining,,FY24 Q2,15667.0,9,10803.0,12167.0
14,ROUTER Enterprise Mid-1 ,Sustaining,,FY24 Q2,10366.0,9,11449.0,10812.333333333334
15,MEMORY ,Decline,,FY24 Q2,58610.0,9,69172.0,70871.66666666667
16,ROUTER Enterprise Mid-2,Sustaining,,FY24 Q2,3855.0,9,3817.0,3969.6666666666665
17,SWITCH Data Center Mid-1,Sustaining,,FY24 Q2,2340.0,9,1918.0,2281.3333333333335
18,ROUTER Enterprise Low ,Decline,,FY24 Q2,5272.0,9,5576.0,4747.666666666667
19,SWITCH Data Center Mid-2,Sustaining,,FY24 Q2,2001.0,9,2280.0,2202.3333333333335
20,SWITCH Enterprise High-2 ,NPI,,FY24 Q2,158.0,9,97.0,122.0
1,SWITCH Enterprise High-1 ,Sustaining,,FY24 Q3,21830.0,10,22084.0,23738.666666666668
2,SWITCH Enterprise Ultra High-1 ,Sustaining,,FY24 Q3,8584.0,10,8450.0,7663.333333333333
3,SWITCH Enterprise Ultra High-2,Sustaining,,FY24 Q3,9249.0,10,8084.0,8209.333333333334
4,SWITCH Enterprise Low,Sustaining,,FY24 Q3,24337.0,10,26125.0,22185.666666666668
5,TRANSCEIVER MODULE Mid-1,Sustaining,,FY24 Q3,76840.0,10,78130.0,74856.33333333333
6,POWER SUPPLY High,Sustaining,,FY24 Q3,115327.0,10,93373.0,103052.0
7,TRANSCEIVER MODULE High,Sustaining,,FY24 Q3,16406.0,10,11956.0,11256.666666666666
8,ACCESS POINT Mid,Sustaining,,FY24 Q3,60073.0,10,59424.0,53809.666666666664
9,POWER SUPPLY Mid,Sustaining,,FY24 Q3,97046.0,10,96255.0,103263.33333333333
10,SERVER ,Sustaining,,FY24 Q3,4422.0,10,5400.0,4725.666666666667
11,PROCESSOR ,Sustaining,,FY24 Q3,1346.0,10,1828.0,1501.6666666666667
12,SWITCH Data Center High,Sustaining,,FY24 Q3,1267.0,10,1944.0,1376.0
13,TRANSCEIVER MODULE Mid-2,Sustaining,,FY24 Q3,37379.0,10,15667.0,21283.0
14,ROUTER Enterprise Mid-1 ,Sustaining,,FY24 Q3,13540.0,10,10366.0,11785.0
15,MEMORY ,Decline,,FY24 Q3,51083.0,10,58610.0,59621.666666666664
16,ROUTER Enterprise Mid-2,Sustaining,,FY24 Q3,5784.0,10,3855.0,4485.333333333333
17,SWITCH Data Center Mid-1,Sustaining,,FY24 Q3,1979.0,10,2340.0,2079.0
18,ROUTER Enterprise Low ,Decline,,FY24 Q3,6085.0,10,5272.0,5644.333333333333
19,SWITCH Data Center Mid-2,Sustaining,,FY24 Q3,3152.0,10,2001.0,2477.6666666666665
20,SWITCH Enterprise High-2 ,NPI,,FY24 Q3,138.0,10,158.0,131.0
1,SWITCH Enterprise High-1 ,Sustaining,,FY24 Q4,29404.0,11,21830.0,24439.333333333332
2,SWITCH Enterprise Ultra High-1 ,Sustaining,,FY24 Q4,12552.0,11,8584.0,9862.0
3,SWITCH Enterprise Ultra High-2,Sustaining,,FY24 Q4,10742.0,11,9249.0,9358.333333333334
4,SWITCH Enterprise Low,Sustaining,,FY24 Q4,21988.0,11,24337.0,24150.0
5,TRANSCEIVER MODULE Mid-1,Sustaining,,FY24 Q4,85421.0,11,76840.0,80130.33333333333
6,POWER SUPPLY High,Sustaining,,FY24 Q4,145690.0,11,115327.0,118130.0
7,TRANSCEIVER MODULE High,Sustaining,,FY24 Q4,6735.0,11,16406.0,11699.0
8,ACCESS POINT Mid,Sustaining,,FY24 Q4,66952.0,11,60073.0,62149.666666666664
9,POWER SUPPLY Mid,Sustaining,,FY24 Q4,127181.0,11,97046.0,106827.33333333333
10,SERVER ,Sustaining,,FY24 Q4,6635.0,11,4422.0,5485.666666666667
11,PROCESSOR ,Sustaining,,FY24 Q4,1175.0,11,1346.0,1449.6666666666667
12,SWITCH Data Center High,Sustaining,,FY24 Q4,1757.0,11,1267.0,1656.0
13,TRANSCEIVER MODULE Mid-2,Sustaining,,FY24 Q4,34423.0,11,37379.0,29156.333333333332
14,ROUTER Enterprise Mid-1 ,Sustaining,,FY24 Q4,16468.0,11,13540.0,13458.0
15,MEMORY ,Decline,,FY24 Q4,22115.0,11,51083.0,43936.0
16,ROUTER Enterprise Mid-2,Sustaining,,FY24 Q4,7840.0,11,5784.0,5826.333333333333
17,SWITCH Data Center Mid-1,Sustaining,,FY24 Q4,1712.0,11,1979.0,2010.3333333333333
18,ROUTER Enterprise Low ,Decline,,FY24 Q4,6761.0,11,6085.0,6039.333333333333
19,SWITCH Data Center Mid-2,Sustaining,,FY24 Q4,3208.0,11,3152.0,2787.0
20,SWITCH Enterprise High-2 ,NPI,,FY24 Q4,192.0,11,138.0,162.66666666666666
1,SWITCH Enterprise High-1 ,Sustaining,,FY25 Q1,24518.0,12,29404.0,25250.666666666668
2,SWITCH Enterprise Ultra High-1 ,Sustaining,,FY25 Q1,9665.0,12,12552.0,10267.0
3,SWITCH Enterprise Ultra High-2,Sustaining,,FY25 Q1,9189.0,12,10742.0,9726.666666666666
4,SWITCH Enterprise Low,Sustaining,,FY25 Q1,32768.0,12,21988.0,26364.333333333332
5,TRANSCEIVER MODULE Mid-1,Sustaining,,FY25 Q1,54494.0,12,85421.0,72251.66666666667
6,POWER SUPPLY High,Sustaining,,FY25 Q1,120699.0,12,145690.0,127238.66666666667
7,TRANSCEIVER MODULE High,Sustaining,,FY25 Q1,29889.0,12,6735.0,17676.666666666668
8,ACCESS POINT Mid,Sustaining,,FY25 Q1,57131.0,12,66952.0,61385.333333333336
9,POWER SUPPLY Mid,Sustaining,,FY25 Q1,109609.0,12,127181.0,111278.66666666667
10,SERVER ,Sustaining,,FY25 Q1,4970.0,12,6635.0,5342.333333333333
11,PROCESSOR ,Sustaining,,FY25 Q1,1376.0,12,1175.0,1299.0
12,SWITCH Data Center High,Sustaining,,FY25 Q1,1472.0,12,1757.0,1498.6666666666667
13,TRANSCEIVER MODULE Mid-2,Sustaining,,FY25 Q1,36285.0,12,34423.0,36029.0
14,ROUTER Enterprise Mid-1 ,Sustaining,,FY25 Q1,13724.0,12,16468.0,14577.333333333334
15,MEMORY ,Decline,,FY25 Q1,19674.0,12,22115.0,30957.333333333332
16,ROUTER Enterprise Mid-2,Sustaining,,FY25 Q1,5309.0,12,7840.0,6311.0
17,SWITCH Data Center Mid-1,Sustaining,,FY25 Q1,1675.0,12,1712.0,1788.6666666666667
18,ROUTER Enterprise Low ,Decline,,FY25 Q1,16697.0,12,6761.0,9847.666666666666
19,SWITCH Data Center Mid-2,Sustaining,,FY25 Q1,2374.0,12,3208.0,2911.3333333333335
20,SWITCH Enterprise High-2 ,NPI,,FY25 Q1,149.0,12,192.0,159.66666666666666
